Link,Name,Brand,Gender,Top_Notes,Mid_Notes,Base_Notes,Rating,Year,Category,Longevity,All_Notes,Notes
https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-75805.html,Khamrah,Lattafa Perfumes,women and men,"Cinnamon, Nutmeg, Bergamot","Dates, Praline, Tuberose, Mahonial","Vanilla, Tonka Bean, Amberwood, Myrrh, Benzoin, Akigalawood",4.37,2022,gourmand,3.879,"Cinnamon, Nutmeg, Bergamot, Dates, Praline, Tuberose, Mahonial, Vanilla, Tonka Bean, Amberwood, Myrrh, Benzoin, Akigalawood","['Cinnamon', 'Nutmeg', 'Bergamot', 'Dates', 'Praline', 'Tuberose', 'Mahonial', 'Vanilla', 'Tonka Bean', 'Amberwood', 'Myrrh', 'Benzoin', 'Akigalawood']"
https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Elixir-81642.html,Le Male Elixir,Jean Paul Gaultier,men,"Lavender, Mint","Vanilla, Benzoin","Honey, Tonka Bean, Tobacco",4.55,2023,gourmand,4.032,"Lavender, Mint, Vanilla, Benzoin, Honey, Tonka Bean, Tobacco","['Lavender', 'Mint', 'Vanilla', 'Benzoin', 'Honey', 'Tonka Bean', 'Tobacco']"
https://www.fragrantica.com/perfume/By-Kilian/Angels-Share-62615.html,Angels' Share,By Kilian,women and men,Cognac,"Cinnamon, Tonka Bean, Oak, Hedione","Vanilla, Praline, Sandalwood, Candied Almond",4.38,2020,woody,3.774,"Cognac, Cinnamon, Tonka Bean, Oak, Hedione, Vanilla, Praline, Sandalwood, Candied Almond","['Cognac', 'Cinnamon', 'Tonka Bean', 'Oak', 'Hedione', 'Vanilla', 'Praline', 'Sandalwood', 'Candied Almond']"
https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-Le-Parfum-61856.html,Le Male Le Parfum,Jean Paul Gaultier,men,Cardamom,"Lavender, Iris","Vanilla, Oriental, Woodsy Notes",4.6,2020,warm spicy,3.779,"Cardamom, Lavender, Iris, Vanilla, Oriental, Woodsy Notes","['Cardamom', 'Lavender', 'Iris', 'Vanilla', 'Oriental', 'Woodsy Notes']"
https://www.fragrantica.com/perfume/Xerjoff/XJ-1861-Naxos-30529.html,XJ 1861 Naxos,Xerjoff,women and men,"Lavender, Bergamot, Lemon","Honey, Cinnamon, Cashmeran, Jasmine Sambac","Tobacco Leaf, Vanilla, Tonka Bean",4.51,2015,gourmand,4.015,"Lavender, Bergamot, Lemon, Honey, Cinnamon, Cashmeran, Jasmine Sambac, Tobacco Leaf, Vanilla, Tonka Bean","['Lavender', 'Bergamot', 'Lemon', 'Honey', 'Cinnamon', 'Cashmeran', 'Jasmine Sambac', 'Tobacco Leaf', 'Vanilla', 'Tonka Bean']"
https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-Le-Parfum-72158.html,Le Beau Le Parfum,Jean Paul Gaultier,men,"Pineapple, Iris, Ginger, Cypress","Coconut, Woodsy Notes","Tonka Bean, Sandalwood, Amber, Ambergris",4.55,2022,gourmand,3.826,"Pineapple, Iris, Ginger, Cypress, Coconut, Woodsy Notes, Tonka Bean, Sandalwood, Amber, Ambergris","['Pineapple', 'Iris', 'Ginger', 'Cypress', 'Coconut', 'Woodsy Notes', 'Tonka Bean', 'Sandalwood', 'Amber', 'Ambergris']"
https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Y-Eau-de-Parfum-50757.html,Y Eau de Parfum,Yves Saint Laurent,men,"Apple, Ginger, Bergamot","Sage, Juniper Berries, Geranium","Amberwood, Tonka Bean, Cedar, Vetiver, Olibanum",4.39,2018,aromatic,3.684,"Apple, Ginger, Bergamot, Sage, Juniper Berries, Geranium, Amberwood, Tonka Bean, Cedar, Vetiver, Olibanum","['Apple', 'Ginger', 'Bergamot', 'Sage', 'Juniper Berries', 'Geranium', 'Amberwood', 'Tonka Bean', 'Cedar', 'Vetiver', 'Olibanum']"
https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Baccarat-Rouge-540-33519.html,Baccarat Rouge 540,Maison Francis Kurkdjian,women and men,"Saffron, Jasmine","Amberwood, Ambergris, Hedione","Fir Resin, Cedar, Sugar, Ambroxan, Oakmoss",3.84,2015,woody,4.003,"Saffron, Jasmine, Amberwood, Ambergris, Hedione, Fir Resin, Cedar, Sugar, Ambroxan, Oakmoss","['Saffron', 'Jasmine', 'Amberwood', 'Ambergris', 'Hedione', 'Fir Resin', 'Cedar', 'Sugar', 'Ambroxan', 'Oakmoss']"
https://www.fragrantica.com/perfume/Maison-Martin-Margiela/By-the-Fireplace-31623.html,By the Fireplace,Maison Martin Margiela,women and men,"Cloves, Pink Pepper, Orange Blossom","Chestnut, Guaiac Wood, Juniper","Vanilla, Peru Balsam, Cashmeran",4.24,2015,woody,3.443,"Cloves, Pink Pepper, Orange Blossom, Chestnut, Guaiac Wood, Juniper, Vanilla, Peru Balsam, Cashmeran","['Cloves', 'Pink Pepper', 'Orange Blossom', 'Chestnut', 'Guaiac Wood', 'Juniper', 'Vanilla', 'Peru Balsam', 'Cashmeran']"
https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Intensely-52802.html,Emporio Armani Stronger With You Intensely,Giorgio Armani,men,"Pink Pepper, Juniper, Violet","Toffee, Cinnamon, Lavender, Sage","Vanilla, Amber, Tonka Bean, Suede",4.59,2019,gourmand,3.909,"Pink Pepper, Juniper, Violet, Toffee, Cinnamon, Lavender, Sage, Vanilla, Amber, Tonka Bean, Suede","['Pink Pepper', 'Juniper', 'Violet', 'Toffee', 'Cinnamon', 'Lavender', 'Sage', 'Vanilla', 'Amber', 'Tonka Bean', 'Suede']"
